source_img,file_name,text
11.jpeg,11_8.jpeg,зiи состо
11.jpeg,11_9.jpeg,числа
11.jpeg,11_10.jpeg,яло и по
11.jpeg,11_11.jpeg,сле оной
11.jpeg,11_12.jpeg,выбыло
11.jpeg,11_13.jpeg,лицо
11.jpeg,11_14.jpeg,№
11.jpeg,11_15.jpeg,прибыло
11.jpeg,11_16.jpeg,9 ре 10ре
11.jpeg,11_17.jpeg,Крестьяне
11.jpeg,11_18.jpeg,визiи визiи
11.jpeg,11_19.jpeg,Лета
11.jpeg,11_20.jpeg,Когда
11.jpeg,11_21.jpeg,именно
11.jpeg,11_22.jpeg,Лета
11.jpeg,11_23.jpeg,33
11.jpeg,11_24.jpeg,35 Осипъ Лукояновъ  Бобровъ
11.jpeg,11_25.jpeg,43
11.jpeg,11_26.jpeg,50
11.jpeg,11_27.jpeg,Его Сыновья
11.jpeg,11_28.jpeg,Романъ
11.jpeg,11_29.jpeg,19
11.jpeg,11_30.jpeg,Миронъ
11.jpeg,11_31.jpeg,Степанъ
11.jpeg,11_32.jpeg,9
11.jpeg,11_33.jpeg,Осипа Лукоянова племянникъ Дми
11.jpeg,11_34.jpeg,трiй Петровъ
11.jpeg,11_35.jpeg,Семейный рекрутскiй Списокъ
11.jpeg,11_36.jpeg,Вятской губернiи Орловского уезда
11.jpeg,11_37.jpeg,крестьянина Осипа
11.jpeg,11_38.jpeg,Составленъ въ 1866 году
11.jpeg,11_39.jpeg,Копiя
12.jpeg,12_0.jpeg,Нуиера
12.jpeg,12_1.jpeg,Лета
12.jpeg,12_2.jpeg,Лета Прибыль и убыль въ семействахъ Прочiя объясненiя необходимый
12.jpeg,12_3.jpeg,записанныхъ
12.jpeg,12_4.jpeg,женъ
12.jpeg,12_5.jpeg,последовавшихъ сначала ре при составленiи призывныхъ и жеребье
12.jpeg,12_6.jpeg,семействъ
12.jpeg,12_7.jpeg,визiи не  изъемая вновь рож
12.jpeg,12_8.jpeg,и проч
12.jpeg,12_9.jpeg,Имена отчества и родовые
12.jpeg,12_10.jpeg,денныхъ
12.jpeg,12_11.jpeg,выхъ списковъ
12.jpeg,12_12.jpeg,Кто изъ
12.jpeg,12_13.jpeg,Имена женъ/дочерей
12.jpeg,12_14.jpeg,Въ которомъ Въ которомъ  году Какого вероисповида
12.jpeg,12_15.jpeg,Не находится ли въ безвестной членовъ
12.jpeg,12_16.jpeg,году кто имен
12.jpeg,12_17.jpeg,нiя грамотенъ ли
12.jpeg,12_18.jpeg,отлучке не происходилъ ли въ
12.jpeg,12_19.jpeg,ктоименно
12.jpeg,12_20.jpeg,призванiя мужескаго пола
12.jpeg,12_21.jpeg,и прочихъ женскаго
12.jpeg,12_22.jpeg,но какихъ летъ
12.jpeg,12_23.jpeg,какое знаетъ реме семействъ зазделъ когда име семейства
12.jpeg,12_24.jpeg,какихъ летъ
12.jpeg,12_25.jpeg,отъ роду при
12.jpeg,12_26.jpeg,сло и не состоялъ
12.jpeg,12_27.jpeg,нно и съ чего разрешения ко
12.jpeg,12_28.jpeg,куда выбылъ
12.jpeg,12_29.jpeg,гда поставленърекрутъ получилъ
12.jpeg,12_30.jpeg,былъ
12.jpeg,12_31.jpeg,под судомъ и подъ изъ семействаа или наймомъ
12.jpeg,12_32.jpeg,году
12.jpeg,12_33.jpeg,душъ рекрутской повинности
12.jpeg,12_34.jpeg,году
12.jpeg,12_35.jpeg,пола душъ къ семействамъ
12.jpeg,12_36.jpeg,наказаниемъ и или зачетомъ и кому изъ на жеребьевый
12.jpeg,12_37.jpeg,1866
12.jpeg,12_38.jpeg,1866
12.jpeg,12_39.jpeg,незапрещено ли личныхъ зачтена послуга
12.jpeg,12_40.jpeg,Когда кто
12.jpeg,12_41.jpeg,Когда кто
12.jpeg,12_42.jpeg,представлять его
12.jpeg,12_43.jpeg,а также не поступилъ ли кто нумеръ въ
12.jpeg,12_44.jpeg,подлежащихъ
12.jpeg,12_45.jpeg,принадлежащихъ
12.jpeg,12_46.jpeg,по найму за чужое семейство которомъ
12.jpeg,12_47.jpeg,въ рекруты
12.jpeg,12_48.jpeg,за какое именно или какъ
12.jpeg,12_49.jpeg,преступникъ
12.jpeg,12_50.jpeg,году
12.jpeg,12_51.jpeg,63
12.jpeg,12_52.jpeg,35
12.jpeg,12_53.jpeg,Осипъ Лукояновъ Бобровъ 50
12.jpeg,12_54.jpeg,53 Осипа жена Матрена 56
12.jpeg,12_55.jpeg,Его дочь Агафья 14
12.jpeg,12_56.jpeg,Его сыновья
12.jpeg,12_57.jpeg,году поступилъ въ рек
12.jpeg,12_58.jpeg,1837
12.jpeg,12_59.jpeg,Романъ
12.jpeg,12_60.jpeg,19
12.jpeg,12_61.jpeg,руты
12.jpeg,12_62.jpeg,20
12.jpeg,12_63.jpeg,Миронъ
12.jpeg,12_64.jpeg,въ 1860 г дочь
12.jpeg,12_65.jpeg,Аксинья
12.jpeg,12_66.jpeg,въ 1862 г дочь
12.jpeg,12_67.jpeg,въ 1866 г
12.jpeg,12_68.jpeg,1843
12.jpeg,12_69.jpeg,Марья
12.jpeg,12_70.jpeg,Миронъ 14
12.jpeg,12_71.jpeg,въ 1866г дочь поступилъ
12.jpeg,12_72.jpeg,Афанасья 2 въ рекруты 21
12.jpeg,12_73.jpeg,Степанъ
12.jpeg,12_74.jpeg,Степанъ
12.jpeg,12_75.jpeg,9
12.jpeg,12_76.jpeg,1848
12.jpeg,12_77.jpeg,Осипа племянникъ
12.jpeg,12_78.jpeg,35
12.jpeg,12_79.jpeg,Дмитрiя мать Але
12.jpeg,12_80.jpeg,Дмитрiй Петровъ
12.jpeg,12_81.jpeg,1839
12.jpeg,12_82.jpeg,ксандра
12.jpeg,12_83.jpeg,52
12.jpeg,12_84.jpeg,въ 1860 году
12.jpeg,12_85.jpeg,Дмiтрия
12.jpeg,12_86.jpeg,20
12.jpeg,12_87.jpeg,въ 1864 г его
12.jpeg,12_88.jpeg,сынъ Исакъ
12.jpeg,12_89.jpeg,въ 1865 году
12.jpeg,12_90.jpeg,сынъ
13.jpeg,13_0.jpeg,Ревизская сказка
13.jpeg,13_1.jpeg,10
13.jpeg,13_2.jpeg,1858 года февраля 28 дня Вятской губернiи Орловского уезда
13.jpeg,13_3.jpeg,Тихтинской волости Патеревского сельского общества починка
13.jpeg,13_4.jpeg,Семьи
13.jpeg,13_5.jpeg,вовремен Ныне
13.jpeg,13_6.jpeg,Женскiй полъ
13.jpeg,13_7.jpeg,ной от
13.jpeg,13_8.jpeg,на
13.jpeg,13_9.jpeg,лучке лицо
13.jpeg,13_10.jpeg,№9
13.jpeg,13_11.jpeg,№10
13.jpeg,13_12.jpeg,реви реви
13.jpeg,13_13.jpeg,с которого
13.jpeg,13_14.jpeg,зiи
13.jpeg,13_15.jpeg,зiи
13.jpeg,13_16.jpeg,Крестьянки
13.jpeg,13_17.jpeg,времени
13.jpeg,13_18.jpeg,Лета
13.jpeg,13_19.jpeg,35
13.jpeg,13_20.jpeg,Осипа Лукоянова жена Матрена Данилова
13.jpeg,13_21.jpeg,48
13.jpeg,13_22.jpeg,Его дочь Агафья
13.jpeg,13_23.jpeg,6
13.jpeg,13_24.jpeg,44
13.jpeg,13_25.jpeg,Дмитрiя Петрова мать Александра Елисеева
14.jpeg,14_0.jpeg,Ревизская сказка
14.jpeg,14_1.jpeg,Тысяча восемьсотъ пятьдесятъ
14.jpeg,14_2.jpeg,Седьмого года марта Семнадцатого
14.jpeg,14_3.jpeg,дня Пермской Губернiи Екатеринбур
14.jpeg,14_4.jpeg,гского уезда Логиновской Волости
14.jpeg,14_5.jpeg,Белоярского Сельского Общества
14.jpeg,14_6.jpeg,Копiя
141.jpeg,141_0.jpeg,Ревизская сказка
141.jpeg,141_1.jpeg,Тысяча Восемьсот шестьдесят вось
141.jpeg,141_2.jpeg,мого годаИюля девятого дня
141.jpeg,141_3.jpeg,Пермской губернiи города Екатерин
141.jpeg,141_4.jpeg,бурга мещанина Михаила Павлова
145.jpeg,145_0.jpeg,Дополнительная Ревизская сказка
145.jpeg,145_1.jpeg,Тысяча восемьсотъ шестьдесятъ восьмого года
145.jpeg,145_2.jpeg,Июля 24 дня Пермский губернии г Екатерин
145.jpeg,145_3.jpeg,бурга мещанки вдовы Анны Михайловой
145.jpeg,145_4.jpeg,Евграфовой ососто душахъ на лицо
15.jpeg,15_0.jpeg,Ревизская сказка
15.jpeg,15_1.jpeg,Ревизская сказка
15.jpeg,15_2.jpeg,1858 года марта 17 дня Пермской
15.jpeg,15_3.jpeg,1858 года марта 17 дня Пермской
15.jpeg,15_4.jpeg,губернiиЕкатеринбургского уезда Логиновс
15.jpeg,15_5.jpeg,губернiи Екатеринбургского уезда Логинов
15.jpeg,15_6.jpeg,кой Волости
15.jpeg,15_7.jpeg,ской волости
15.jpeg,15_8.jpeg,по послед Изъ того ныне
15.jpeg,15_9.jpeg,нейревизiи числа
15.jpeg,15_10.jpeg,во временной ныне
15.jpeg,15_11.jpeg,на
15.jpeg,15_12.jpeg,Семьи Мужскiй полъ состояло
15.jpeg,15_13.jpeg,Семьи Женскiй полъ
15.jpeg,15_14.jpeg,и после оной выбыло лицо
15.jpeg,15_15.jpeg,отлучке на
15.jpeg,15_16.jpeg,прибыло
15.jpeg,15_17.jpeg,лицо
15.jpeg,15_18.jpeg,№9 №10
15.jpeg,15_19.jpeg,Когда
15.jpeg,15_20.jpeg,№9 №10
15.jpeg,15_21.jpeg,съ которого
15.jpeg,15_22.jpeg,ревизiи ревизiи Крестьяне Лета
15.jpeg,15_23.jpeg,Лета
15.jpeg,15_24.jpeg,именно
15.jpeg,15_25.jpeg,ревизiи ревизiи Крестьянки времени Лета
15.jpeg,15_26.jpeg,235 220 Яковъ Яфимовъ
15.jpeg,15_27.jpeg,Константиновъ
15.jpeg,15_28.jpeg,45
15.jpeg,15_29.jpeg,52
15.jpeg,15_30.jpeg,Его сыновья
15.jpeg,15_31.jpeg,33
15.jpeg,15_32.jpeg,235
15.jpeg,15_33.jpeg,219
15.jpeg,15_34.jpeg,32
15.jpeg,15_35.jpeg,1 Михайло
15.jpeg,15_36.jpeg,26
15.jpeg,15_37.jpeg,Сергеева
15.jpeg,15_38.jpeg,Его дочь Алла
15.jpeg,15_39.jpeg,3
15.jpeg,15_40.jpeg,Михайлу сынъ
15.jpeg,15_41.jpeg,Исакъ
15.jpeg,15_42.jpeg,новор 1852
15.jpeg,15_43.jpeg,5
15.jpeg,15_44.jpeg,26
15.jpeg,15_45.jpeg,2 Илья
15.jpeg,15_46.jpeg,Яковлева
15.jpeg,15_47.jpeg,сынъ Антон новор 1853
15.jpeg,15_48.jpeg,Его дочери Ксенья
15.jpeg,15_49.jpeg,сданъ въ ре
15.jpeg,15_50.jpeg,Агафья
15.jpeg,15_51.jpeg,3 Иванъ
15.jpeg,15_52.jpeg,17 круты
15.jpeg,15_53.jpeg,въ 1854 году
15.jpeg,15_54.jpeg,15
15.jpeg,15_55.jpeg,22
15.jpeg,15_56.jpeg,Авдотья
15.jpeg,15_57.jpeg,4 Исакъ
15.jpeg,15_58.jpeg,20
15.jpeg,15_59.jpeg,5 Андрей
15.jpeg,15_60.jpeg,12
15.jpeg,15_61.jpeg,Писарь
16.jpeg,16_0.jpeg,семейный Рекрутский
16.jpeg,16_1.jpeg,Списокъ
16.jpeg,16_2.jpeg,Пермской Губернии Екатеринбургско
16.jpeg,16_3.jpeg,го Белоярского Волостного Правленiя
16.jpeg,16_4.jpeg,Составленъ 1864 года
16.jpeg,16_5.jpeg,Копiя
17.jpeg,17_0.jpeg,№№ запи
17.jpeg,17_1.jpeg,Лета Прибыль и убыль душъ Прочiя объясненiя необходи
17.jpeg,17_2.jpeg,санных
17.jpeg,17_3.jpeg,Лета
17.jpeg,17_4.jpeg,женъ въ семействахъ последо мый при составленiи при
17.jpeg,17_5.jpeg,семействъ
17.jpeg,17_6.jpeg,Имена Отче
17.jpeg,17_7.jpeg,и пр не  изъемая вновь рожденныхъ ковъ
17.jpeg,17_8.jpeg,вавшихъ сначала ревизiи зывныхъ и жеребьевыхъ спис
17.jpeg,17_9.jpeg,Имена женъ
17.jpeg,17_10.jpeg,Кто изъ
17.jpeg,17_11.jpeg,ства и родовые
17.jpeg,17_12.jpeg,дочерей и про
17.jpeg,17_13.jpeg,Въ кото Въ кото  Какого ве Ненаходиться
17.jpeg,17_14.jpeg,ромъ году ромъ году роиспове въ безвестной
17.jpeg,17_15.jpeg,членовъ се
17.jpeg,17_16.jpeg,призванiя
17.jpeg,17_17.jpeg,чихъ женскаго
17.jpeg,17_18.jpeg,Кто именно ду кто данiя гра отлучке не прои мейства
17.jpeg,17_19.jpeg,мужского
17.jpeg,17_20.jpeg,пола душъ
17.jpeg,17_21.jpeg,но какихъ
17.jpeg,17_22.jpeg,мотенъ лисходилъ ли въ
17.jpeg,17_23.jpeg,именно какое зна семействе разделъ получилъ
17.jpeg,17_24.jpeg,лета от
17.jpeg,17_25.jpeg,къ семействамъ
17.jpeg,17_26.jpeg,Какихъ етъ ремесло когда именно и
17.jpeg,17_27.jpeg,пола дущъ
17.jpeg,17_28.jpeg,роду при
17.jpeg,17_29.jpeg,и не состо съ чьего разрешенiя жеребьевый
17.jpeg,17_30.jpeg,принадлежа
17.jpeg,17_31.jpeg,летъ ку ялъ ли подъ когда поставленъ
17.jpeg,17_32.jpeg,рекрутской
17.jpeg,17_33.jpeg,было
17.jpeg,17_34.jpeg,да вы судомъ и рекрутъ  изъ семей нумеръ въ
17.jpeg,17_35.jpeg,щихъ
17.jpeg,17_36.jpeg,подъ нака ства или наймомъ
17.jpeg,17_37.jpeg,повинности
17.jpeg,17_38.jpeg,былъ
17.jpeg,17_39.jpeg,заниемъ или зачетомъ и которомъ
17.jpeg,17_40.jpeg,и незапре кому изъ налич
17.jpeg,17_41.jpeg,подходящихъ
17.jpeg,17_42.jpeg,щено ли его ныхъ зачтена
17.jpeg,17_43.jpeg,послуга а также
17.jpeg,17_44.jpeg,году
17.jpeg,17_45.jpeg,предста не поступилъ ли
17.jpeg,17_46.jpeg,кто по найму за
17.jpeg,17_47.jpeg,влять чужое семейство
17.jpeg,17_48.jpeg,Когда
17.jpeg,17_49.jpeg,Когда
17.jpeg,17_50.jpeg,въ рекруты какое именно
17.jpeg,17_51.jpeg,или какъ престу
17.jpeg,17_52.jpeg,Кто
17.jpeg,17_53.jpeg,Кто
17.jpeg,17_54.jpeg,пникъ
17.jpeg,17_55.jpeg,Дi Шепеловки
17.jpeg,17_56.jpeg,Взять рекрутъ
17.jpeg,17_57.jpeg,147 220 Исакъ Яковлевъ
17.jpeg,17_58.jpeg,Исака Жена
17.jpeg,17_59.jpeg,въ 1854 году Иванъ
17.jpeg,17_60.jpeg,Коптеловъ 22 1834 28 Авдотья Иванова 26
17.jpeg,17_61.jpeg,Яковлевъ послуга
17.jpeg,17_62.jpeg,1864
17.jpeg,17_63.jpeg,Дочери Пелагея
17.jpeg,17_64.jpeg,Его сынъ Иванъ
17.jpeg,17_65.jpeg,2
17.jpeg,17_66.jpeg,зачтена брату
17.jpeg,17_67.jpeg,Татьяна
17.jpeg,17_68.jpeg,3
17.jpeg,17_69.jpeg,Исаку
17.jpeg,17_70.jpeg,Рекрудству не
17.jpeg,17_71.jpeg,подлежащiе
17.jpeg,17_72.jpeg,Иванъ
177.jpeg,177_0.jpeg,Ревизская сказка
177.jpeg,177_1.jpeg,Тысяча восемьсотъ шестьдесятъ восьмого
177.jpeg,177_2.jpeg,года октября третьяго дня Пермской
177.jpeg,177_3.jpeg,Губернии Екатеринбургскаго Мещанина
177.jpeg,177_4.jpeg,Семена Семенова Торгунова о состоящихъ
177.jpeg,177_5.jpeg,душахъ на лицо
18.jpeg,18_0.jpeg,Копiя
18.jpeg,18_1.jpeg,Ревизская сказка
18.jpeg,18_2.jpeg,1858 году марта 31 дня
18.jpeg,18_3.jpeg,Пермской губернiи Крас
18.jpeg,18_4.jpeg,ноуфимского уезда
18.jpeg,18_5.jpeg,Иргинского завода
19.jpeg,19_0.jpeg,Ревизская сказка
19.jpeg,19_1.jpeg,1858 году марта 31 дня Пермской гу
19.jpeg,19_2.jpeg,бернiи  Красноуфимского уезда Иргин
19.jpeg,19_3.jpeg,ского завода
19.jpeg,19_4.jpeg,по последней
19.jpeg,19_5.jpeg,ревизiи со изъ того ныне
19.jpeg,19_6.jpeg,Семьи Мужскiй полъ стояло и по числа
19.jpeg,19_7.jpeg,на
19.jpeg,19_8.jpeg,сле оной
19.jpeg,19_9.jpeg,прибыло
19.jpeg,19_10.jpeg,выбыло лицо
19.jpeg,19_11.jpeg,когда
19.jpeg,19_12.jpeg,9 реви 10 реви
19.jpeg,19_13.jpeg,лета
19.jpeg,19_14.jpeg,ле
19.jpeg,19_15.jpeg,именно
19.jpeg,19_16.jpeg,та
19.jpeg,19_17.jpeg,41 46 Тимофей Епиваровъ
19.jpeg,19_18.jpeg,умеръ
19.jpeg,19_19.jpeg,71
19.jpeg,19_20.jpeg,въ 1855 г
19.jpeg,19_21.jpeg,Тимофеевъ сынъ
19.jpeg,19_22.jpeg,42
19.jpeg,19_23.jpeg,Артемiй
19.jpeg,19_24.jpeg,Артемия Тимофеева
19.jpeg,19_25.jpeg,сыновья Матвей
19.jpeg,19_26.jpeg,Ревизская сказка
19.jpeg,19_27.jpeg,1858 года марта 31 дня
19.jpeg,19_28.jpeg,Пермской губернiи Крас
19.jpeg,19_29.jpeg,ноуфимского уезда Иргин
19.jpeg,19_30.jpeg,ского
19.jpeg,19_31.jpeg,завода
19.jpeg,19_32.jpeg,Копiя
191.jpeg,191_0.jpeg,Ревизская сказка
191.jpeg,191_1.jpeg,Тысяча восемьсотъ шестьдесятъ вось
191.jpeg,191_2.jpeg,мого года Декабря девятнадцатого дня
191.jpeg,191_3.jpeg,Пермской Губернiи Екатеринбургского ме
191.jpeg,191_4.jpeg,щанина Федора Максимова Бахтина
191.jpeg,191_5.jpeg,о состоящихъ душахъ на лицо
2.jpeg,2_0.jpeg,Копiя
2.jpeg,2_1.jpeg,Ревизская Сказка
2.jpeg,2_2.jpeg,Пермской Губернiи Екатеринбургского
2.jpeg,2_3.jpeg,Уезда Верхне Тагильского завода
2.jpeg,2_4.jpeg,Марта 1 дня 1858 года
20.jpeg,20_0.jpeg,умеръ
20.jpeg,20_1.jpeg,Ревизская сказка
20.jpeg,20_2.jpeg,Ревизская сказка
20.jpeg,20_3.jpeg,1858 года марта 31 дня Пермской гу
20.jpeg,20_4.jpeg,1858 года марта 31 дня Пермской губер
20.jpeg,20_5.jpeg,бернiи Красноуфимского уезда
20.jpeg,20_6.jpeg,нiи Красноуфимского уезда Иргин
20.jpeg,20_7.jpeg,Иргинского завода
20.jpeg,20_8.jpeg,ского завода
20.jpeg,20_9.jpeg,по послед
20.jpeg,20_10.jpeg,ней ревизiи изъ того ныне
20.jpeg,20_11.jpeg,во времен ныне
20.jpeg,20_12.jpeg,Семьи Мужскiй полъ состояло
20.jpeg,20_13.jpeg,и после оной числа
20.jpeg,20_14.jpeg,Семьи Женский полъ ной отлу
20.jpeg,20_15.jpeg,чке
20.jpeg,20_16.jpeg,на
20.jpeg,20_17.jpeg,прибыло выбыло лицо
20.jpeg,20_18.jpeg,лицо
20.jpeg,20_19.jpeg,когда
20.jpeg,20_20.jpeg,съ которого
20.jpeg,20_21.jpeg,лета
20.jpeg,20_22.jpeg,9 реви 10 реви
20.jpeg,20_23.jpeg,лета именно
20.jpeg,20_24.jpeg,реви реви
20.jpeg,20_25.jpeg,времени
20.jpeg,20_26.jpeg,41
20.jpeg,20_27.jpeg,Тимофей Епифаровъ
20.jpeg,20_28.jpeg,46 Артемья Тимофеева
20.jpeg,20_29.jpeg,71
20.jpeg,20_30.jpeg,въ 1855
20.jpeg,20_31.jpeg,жена Ксенья Алексан
20.jpeg,20_32.jpeg,46
20.jpeg,20_33.jpeg,Тимофеевъ сынъ
20.jpeg,20_34.jpeg,дрова
20.jpeg,20_35.jpeg,Артемiй 42
20.jpeg,20_36.jpeg,Артемия Тимофеева
20.jpeg,20_37.jpeg,артемия Тимофеева
20.jpeg,20_38.jpeg,дочери Афанасья
20.jpeg,20_39.jpeg,17 24
20.jpeg,20_40.jpeg,8
20.jpeg,20_41.jpeg,Сыновья Матвей
20.jpeg,20_42.jpeg,12
21.jpeg,21_0.jpeg,Ревизская сказка
21.jpeg,21_1.jpeg,1858 года марта 31 дня Пермской губернии
21.jpeg,21_2.jpeg,красноуфимского уезда Иргинского
21.jpeg,21_3.jpeg,завода
21.jpeg,21_4.jpeg,во време
21.jpeg,21_5.jpeg,ныне
21.jpeg,21_6.jpeg,Семьи
21.jpeg,21_7.jpeg,ной
21.jpeg,21_8.jpeg,Женский полъ
21.jpeg,21_9.jpeg,отлуч
21.jpeg,21_10.jpeg,на
21.jpeg,21_11.jpeg,лицо
21.jpeg,21_12.jpeg,съ которого
21.jpeg,21_13.jpeg,ке
21.jpeg,21_14.jpeg,ле
21.jpeg,21_15.jpeg,10 рев
21.jpeg,21_16.jpeg,времени
21.jpeg,21_17.jpeg,та
21.jpeg,21_18.jpeg,39
21.jpeg,21_19.jpeg,Артемия Тимофеева жена
21.jpeg,21_20.jpeg,46
21.jpeg,21_21.jpeg,Ксенья Александрова
21.jpeg,21_22.jpeg,Артемия Тимофеева
21.jpeg,21_23.jpeg,14
21.jpeg,21_24.jpeg,дочери Афанасья
21.jpeg,21_25.jpeg,8
21.jpeg,21_26.jpeg,Феофонья
210.jpeg,210_0.jpeg,Ревизская сказка
210.jpeg,210_1.jpeg,Тисяча восемь сотъ Шестьдесятъ де
210.jpeg,210_2.jpeg,вятого года Марта двадцать девятого дня Перм
210.jpeg,210_3.jpeg,"ской Губернiи Г Екатеринбурга, осемействе"
210.jpeg,210_4.jpeg,причислившагося къ Екатеринбургскому мещан
210.jpeg,210_5.jpeg,скому обществу Исая Яковлева Коптелова о со
210.jpeg,210_6.jpeg,стоящих душахъ налицо
22.jpeg,22_0.jpeg,Ревизская сказка
22.jpeg,22_1.jpeg,Пермской губернiи Красноуфимского
22.jpeg,22_2.jpeg,уезда Верхне Иргинского завода
22.jpeg,22_3.jpeg,Марта 31 дня 1858 года
22.jpeg,22_4.jpeg,Копiя
224.jpeg,224_0.jpeg,Ревизская сказка
224.jpeg,224_1.jpeg,Тысяча восемьсотъ шестьдесятъ девятого
224.jpeg,224_2.jpeg,года Марта Четвертого дня Пермской
224.jpeg,224_3.jpeg,губернiи Екатеринбургского Мещанина
224.jpeg,224_4.jpeg,Анисифора Карпова Кабалова о состоящихъ
224.jpeg,224_5.jpeg,душах на лицо
224.jpeg,224_6.jpeg,Жительство имело
224.jpeg,224_7.jpeg,въ 2 часу г Екатерин
224.jpeg,224_8.jpeg,бурга въ офицерской
224.jpeg,224_9.jpeg,Улице въ доме крестьянина
224.jpeg,224_10.jpeg,Василия Аникина
23.jpeg,23_0.jpeg,1858 года марта  31 дня Пермской губер
23.jpeg,23_1.jpeg,Ревизская сказка
23.jpeg,23_2.jpeg,нiи Красноуфимского завода Верх
23.jpeg,23_3.jpeg,не Иргинского завода
23.jpeg,23_4.jpeg,Семьи
23.jpeg,23_5.jpeg,Мужскiй полъ
23.jpeg,23_6.jpeg,По последней Изъ того числа Ныне
23.jpeg,23_7.jpeg,ревизiи состо
23.jpeg,23_8.jpeg,яло и после  выбыло
23.jpeg,23_9.jpeg,№10
23.jpeg,23_10.jpeg,оной прибыло
23.jpeg,23_11.jpeg,ревизiи ревизiи
23.jpeg,23_12.jpeg,Лета
23.jpeg,23_13.jpeg,Когда
23.jpeg,23_14.jpeg,лицо
23.jpeg,23_15.jpeg,именно
23.jpeg,23_16.jpeg,Лета
23.jpeg,23_17.jpeg,616 660
23.jpeg,23_18.jpeg,Федоръ Исаковъ Губинъ
23.jpeg,23_19.jpeg,45
23.jpeg,23_20.jpeg,52 1/2
23.jpeg,23_21.jpeg,Федора сыновья
23.jpeg,23_22.jpeg,Василiй 22
23.jpeg,23_23.jpeg,29 1/2
23.jpeg,23_24.jpeg,Федоровича сынъ Петръ
23.jpeg,23_25.jpeg,19
23.jpeg,23_26.jpeg,26 1/2
23.jpeg,23_27.jpeg,Федоръ
23.jpeg,23_28.jpeg,17
23.jpeg,23_29.jpeg,умеръ въ
23.jpeg,23_30.jpeg,Артемiй 16
23.jpeg,23_31.jpeg,1853 году
23.jpeg,23_32.jpeg,Ревизская сказка
23.jpeg,23_33.jpeg,Пермской губернiи Красноуфимского
23.jpeg,23_34.jpeg,уезда Верхне Иргинского завода
23.jpeg,23_35.jpeg,Марта 31 дня 1858 года
23.jpeg,23_36.jpeg,Копiя
24.jpeg,24_0.jpeg,Ревизская сказка
24.jpeg,24_1.jpeg,Ревизская сказка
24.jpeg,24_2.jpeg,21
24.jpeg,24_3.jpeg,1858 года марта 31 дня Пермской губернiи Красно
24.jpeg,24_4.jpeg,1858 года марта 31 дня Пермской губернiи Красно
24.jpeg,24_5.jpeg,уфимского уезда Верхне Иргинского завода
24.jpeg,24_6.jpeg,уфимского уезда Верхне Иргинского завода
24.jpeg,24_7.jpeg,По последней
24.jpeg,24_8.jpeg,Изъ того чис Ныне
24.jpeg,24_9.jpeg,ревизiи состояло
24.jpeg,24_10.jpeg,Во времен Ныне
24.jpeg,24_11.jpeg,Семьи
