source_img,file_name,text,sample
61.jpeg,61_40.jpeg,1867 года за,train
69.jpeg,69_11.jpeg,числа на,train
51.jpeg,51_48.jpeg,Итого мужскаго пода одна 1,train
13.jpeg,13_21.jpeg,48,train
30.jpeg,30_3.jpeg,Уржумского уезда,train
13.jpeg,13_3.jpeg,Тихтинской волости Патеревского сельского общества починка,train
12.jpeg,12_5.jpeg,последовавшихъ сначала ре при составленiи призывныхъ и жеребье,train
51.jpeg,51_8.jpeg,Изъ того Ныне,train
7.jpeg,7_6.jpeg,кого общества Походильской деревни,train
76.jpeg,76_4.jpeg,мещанина Мелетiя Василiева,train
17.jpeg,17_69.jpeg,Исаку,train
27.jpeg,27_27.jpeg,14,train
38.jpeg,38_6.jpeg,Мужскiй полъ,train
12.jpeg,12_48.jpeg,за какое именно или какъ,train
17.jpeg,17_58.jpeg,Исака Жена,train
106.jpeg,106_1.jpeg,Ревизская сказка,train
44.jpeg,44_5.jpeg,Составлена февраля 1 дня,train
33.jpeg,33_9.jpeg,оной прибы было,train
60.jpeg,60_1.jpeg,Тысяча восемьсотъ шестьдесятъ седьмого года Iюня,train
49.jpeg,49_35.jpeg,20,train
17.jpeg,17_25.jpeg,къ семействамъ,train
31.jpeg,31_8.jpeg,Семьи,train
26.jpeg,26_1.jpeg,года,train
19.jpeg,19_16.jpeg,та,train
78.jpeg,78_4.jpeg,Иванова Притынина о состоящихъ,train
81.jpeg,81_27.jpeg,ревизiи ревизiи,train
88.jpeg,88_15.jpeg,ской Сказке ивъ место сказко подателя,train
59.jpeg,59_39.jpeg,Мухинъ,train
358.jpeg,358_31.jpeg,Григорий Антиповъ,train
13.jpeg,13_6.jpeg,Женскiй полъ,train
20.jpeg,20_15.jpeg,чке,train
224.jpeg,224_1.jpeg,Тысяча восемьсотъ шестьдесятъ девятого,train
13.jpeg,13_12.jpeg,реви реви,train
38.jpeg,38_27.jpeg,крестьянки,train
45.jpeg,45_7.jpeg,№ Мещане,train
13.jpeg,13_13.jpeg,с которого,train
35.jpeg,35_16.jpeg,зiи,train
47.jpeg,47_24.jpeg,Итого,train
78.jpeg,78_2.jpeg,губернiи города Екатеринбурга вновъ,train
71.jpeg,71_7.jpeg,По последней Изъ того Ныне,train
31.jpeg,31_6.jpeg,яло и после,train
5.jpeg,5_24.jpeg,ревиз ревиз люди,train
57.jpeg,57_1.jpeg,1867 года мая 29 дня Пермской губернiи города,train
39.jpeg,39_8.jpeg,Жужскiй полъ,train
43.jpeg,43_1.jpeg,первая о родившихся,train
358.jpeg,358_18.jpeg,лучке,train
22.jpeg,22_1.jpeg,Пермской губернiи Красноуфимского,train
53.jpeg,53_51.jpeg,Екатеринбургский мещанскiй сынъ Александр Петровъ Логиновъ,train
53.jpeg,53_9.jpeg,Ныне,train
28.jpeg,28_13.jpeg,на,train
86.jpeg,86_45.jpeg,душах на лицо,train
5.jpeg,5_43.jpeg,Его де отъ второй жены дочь,train
59.jpeg,59_3.jpeg,1867 года июня 2 дня Пермской Губернiи города Ека,train
29.jpeg,29_19.jpeg,20,train
71.jpeg,71_14.jpeg,выбыло,train
67.jpeg,67_35.jpeg,Федора Степанова жена,train
37.jpeg,37_50.jpeg,35,train
12.jpeg,12_38.jpeg,1866,train
10.jpeg,10_0.jpeg,Ревизская сказка,train
53.jpeg,53_45.jpeg,мастерскихъ,train
16.jpeg,16_5.jpeg,Копiя,train
85.jpeg,85_8.jpeg,на,train
37.jpeg,37_10.jpeg,состояло,train
75.jpeg,75_10.jpeg,Семьи Мужскiй полъ,train
79.jpeg,79_47.jpeg,въ томъ и подписуюсь Екатеринбургскiй ме,train
9.jpeg,9_0.jpeg,Ревизская сказка,train
37.jpeg,37_13.jpeg,Женскiй полъ,train
32.jpeg,32_5.jpeg,Копiя,train
63.jpeg,63_1.jpeg,Ревизская сказка,train
6.jpeg,6_14.jpeg,когда,train
83.jpeg,83_13.jpeg,числа вы,train
60.jpeg,60_5.jpeg,о,train
9.jpeg,9_32.jpeg,Лета,train
28.jpeg,28_41.jpeg,Иванъ,train
18.jpeg,18_5.jpeg,Иргинского завода,train
81.jpeg,81_32.jpeg,Иванъ Петровъ,train
83.jpeg,83_45.jpeg,2 месяца,train
24.jpeg,24_14.jpeg,на,train
59.jpeg,59_4.jpeg,теринбурга,train
52.jpeg,52_4.jpeg,Ефима Федорова Вепрова о состоящихъ,train
17.jpeg,17_22.jpeg,мотенъ лисходилъ ли въ,train
59.jpeg,59_52.jpeg,на,train
14.jpeg,14_6.jpeg,Копiя,train
67.jpeg,67_14.jpeg,Семьи,train
5.jpeg,5_58.jpeg,верного въ томъ Верхнетагильское Выгостное Правлениiе выдать крестьянину,train
34.jpeg,34_4.jpeg,Петровъ,train
71.jpeg,71_45.jpeg,23,train
12.jpeg,12_40.jpeg,Когда кто,train
17.jpeg,17_1.jpeg,Лета Прибыль и убыль душъ Прочiя объясненiя необходи,train
35.jpeg,35_19.jpeg,рого вре лета,train
47.jpeg,47_7.jpeg,визiи со,train
24.jpeg,24_34.jpeg,616,train
67.jpeg,67_52.jpeg,Сыновья Василiй,train
69.jpeg,69_13.jpeg,Женскiй полъ,train
85.jpeg,85_5.jpeg,ревизiи состояло,train
65.jpeg,65_3.jpeg,1867 года Iюня 19 дня Пермской губернiи г Ека,train
81.jpeg,81_11.jpeg,на,train
15.jpeg,15_61.jpeg,Писарь,train
49.jpeg,49_20.jpeg,№9 №10,train
15.jpeg,15_42.jpeg,новор 1852,train
177.jpeg,177_5.jpeg,душахъ на лицо,train
73.jpeg,73_27.jpeg,Съ которого,train
65.jpeg,65_39.jpeg,мая 1867 года,train
93.jpeg,93_22.jpeg,№10,train
24.jpeg,24_63.jpeg,69 1/2,train
35.jpeg,35_9.jpeg,ке,train
91.jpeg,91_38.jpeg,Лазаря Иванова мать,train
69.jpeg,69_2.jpeg,1867 года Iюня 19 дня Пермской губернiи города,train
25.jpeg,25_23.jpeg,23 1/2,train
17.jpeg,17_4.jpeg,женъ въ семействахъ последо мый при составленiи при,train
71.jpeg,71_20.jpeg,ло,train
17.jpeg,17_18.jpeg,Кто именно ду кто данiя гра отлучке не прои мейства,train
46.jpeg,46_0.jpeg,Ревизская сказка,train
67.jpeg,67_4.jpeg,города Екатеринбурга,train
11.jpeg,11_25.jpeg,43,train
73.jpeg,73_16.jpeg,выбыло,train
33.jpeg,33_8.jpeg,яло и после,train
75.jpeg,75_34.jpeg,времени,train
57.jpeg,57_11.jpeg,ли и после,train
15.jpeg,15_16.jpeg,прибыло,train
224.jpeg,224_10.jpeg,Василия Аникина,train
38.jpeg,38_9.jpeg,состояло,train
79.jpeg,79_6.jpeg,По последней,train
87.jpeg,87_28.jpeg,Лета,train
38.jpeg,38_26.jpeg,лета имен лета,train
358.jpeg,358_8.jpeg,ной от на,train
31.jpeg,31_32.jpeg,Тимофея сыновья,train
91.jpeg,91_42.jpeg,Баченовъ,train
19.jpeg,19_7.jpeg,на,train
76.jpeg,76_0.jpeg,Ревизская сказка,train
69.jpeg,69_21.jpeg,№9,train
79.jpeg,79_37.jpeg,54,train
59.jpeg,59_13.jpeg,числа,train
72.jpeg,72_11.jpeg,бурга в доме отца,train
29.jpeg,29_14.jpeg,та,train
12.jpeg,12_19.jpeg,ктоименно,train
92.jpeg,92_1.jpeg,Тысяча восемьсотъ шестьдесятъ седьмого,train
31.jpeg,31_62.jpeg,Федора жена Марья Васильева,train
69.jpeg,69_33.jpeg,Лета,train
83.jpeg,83_8.jpeg,ревизiи состоя,train
23.jpeg,23_25.jpeg,19,train
26.jpeg,26_0.jpeg,Ревизская сказка,train
13.jpeg,13_14.jpeg,зiи,train
76.jpeg,76_9.jpeg,Екатеринбурга въ,train
49.jpeg,49_7.jpeg,ревизiи состояло,train
34.jpeg,34_3.jpeg,52,train
55.jpeg,55_24.jpeg,Лета,train
73.jpeg,73_33.jpeg,Реви Реви Мещанки,train
53.jpeg,53_38.jpeg,22,train
63.jpeg,63_37.jpeg,№5907 1867 года,train
25.jpeg,25_1.jpeg,22,train
63.jpeg,63_41.jpeg,Его сынъ,train
12.jpeg,12_71.jpeg,въ 1866г дочь поступилъ,train
41.jpeg,41_1.jpeg,Михайло,train
7.jpeg,7_14.jpeg,Семьи,train
283.jpeg,283_1.jpeg,Тысяча восемьсот шестьдесятъ,train
45.jpeg,45_10.jpeg,отлучка лицо,train
74.jpeg,74_2.jpeg,года августа Четырнадцатого дня Пермской,train
87.jpeg,87_20.jpeg,№9 №10,train
106.jpeg,106_17.jpeg,лучке,train
55.jpeg,55_3.jpeg,1867 года мая 26 дня Пермской губернiи города,train
12.jpeg,12_78.jpeg,35,train
31.jpeg,31_57.jpeg,25,train
33.jpeg,33_20.jpeg,когда и лета,train
68.jpeg,68_4.jpeg,тыкина о состоящихъ душахъ на лицо,train
72.jpeg,72_4.jpeg,рнии Города,train
20.jpeg,20_33.jpeg,Тимофеевъ сынъ,train
93.jpeg,93_3.jpeg,1864 года октября 10 дня Пермской губернiи города,train
7.jpeg,7_3.jpeg,1858 года Марта месяца 14 дня Пермской Губернiи Ека,train
33.jpeg,33_41.jpeg,17,train
93.jpeg,93_33.jpeg,Мещанки,train
69.jpeg,69_4.jpeg,Екатеринбурга,train
17.jpeg,17_29.jpeg,и не состо съ чьего разрешенiя жеребьевый,train
24.jpeg,24_7.jpeg,По последней,train
62.jpeg,62_0.jpeg,Ревизская сказка,train
5.jpeg,5_7.jpeg,Тагильского завода,train
17.jpeg,17_24.jpeg,лета от,train
17.jpeg,17_5.jpeg,семействъ,train
28.jpeg,28_17.jpeg,и после выбыло,train
17.jpeg,17_26.jpeg,Какихъ етъ ремесло когда именно и,train
74.jpeg,74_4.jpeg,Николая Яковлева Эяковского о состоящихъ,train
29.jpeg,29_12.jpeg,9 реви 10 реви,train
38.jpeg,38_38.jpeg,25 января,train
33.jpeg,33_26.jpeg,25,train
9.jpeg,9_47.jpeg,21,train
76.jpeg,76_7.jpeg,Жительство имею,train
51.jpeg,51_51.jpeg,ского мещанiна Ивана Афанасьева Пивоварова по безграмотству его личной прозьбе расписался,train
80.jpeg,80_4.jpeg,Петрова Каравайцева о состоящихъ душахъ,train
35.jpeg,35_10.jpeg,цо,train
106.jpeg,106_7.jpeg,ныне,train
31.jpeg,31_69.jpeg,14,train
31.jpeg,31_4.jpeg,ревизiи состо изъ того ныне,train
23.jpeg,23_10.jpeg,оной прибыло,train
77.jpeg,77_28.jpeg,именно,train
2.jpeg,2_3.jpeg,Уезда Верхне Тагильского завода,train
47.jpeg,47_5.jpeg,№ Мещане,train
72.jpeg,72_10.jpeg,въ 1 части Города Екатерин,train
43.jpeg,43_12.jpeg,по желанiю,train
67.jpeg,67_29.jpeg,реви Мещане,train
45.jpeg,45_13.jpeg,1 Алберта Данилов жена,train
65.jpeg,65_6.jpeg,По последней Изъ того Ныне,train
19.jpeg,19_15.jpeg,именно,train
51.jpeg,51_40.jpeg,ты отъ 31 ок,train
71.jpeg,71_0.jpeg,Ревизская сказка,train
79.jpeg,79_7.jpeg,ревизiи сос,train
93.jpeg,93_40.jpeg,Въдова Ольга Иванова Пупкова,train
24.jpeg,24_11.jpeg,Семьи,train
15.jpeg,15_8.jpeg,по послед Изъ того ныне,train
37.jpeg,37_62.jpeg,19,train
83.jpeg,83_40.jpeg,Марiя Федорова,train
106.jpeg,106_2.jpeg,1867 года января 20 дня Пермской,train
5.jpeg,5_25.jpeg,Лета,train
17.jpeg,17_34.jpeg,да вы судомъ и рекрутъ  изъ семей нумеръ въ,train
20.jpeg,20_16.jpeg,на,train
69.jpeg,69_29.jpeg,реви реви,train
12.jpeg,12_25.jpeg,отъ роду при,train
47.jpeg,47_23.jpeg,Анатолiй,train
91.jpeg,91_59.jpeg,Всего въ сей ревизской сказке заключается душъ мужеска пола одна жен,train
12.jpeg,12_41.jpeg,Когда кто,train
9.jpeg,9_53.jpeg,Егорова,train
91.jpeg,91_4.jpeg,губернiи г Екатеринбурга,train
61.jpeg,61_5.jpeg,Екатеринбурга,train
83.jpeg,83_42.jpeg,24,train
47.jpeg,47_9.jpeg,на,train
12.jpeg,12_35.jpeg,пола душъ къ семействамъ,train
5.jpeg,5_28.jpeg,№9 №10 Вечно отданные заводскiе съ которого,train
39.jpeg,39_23.jpeg,съ кото,train
93.jpeg,93_8.jpeg,Во временной Ныне,train
9.jpeg,9_41.jpeg,407 359 Калистратъ Софроновъ Степановъ 33,train
93.jpeg,93_13.jpeg,на,train
53.jpeg,53_0.jpeg,Дополнительная ревизская сказка,train
59.jpeg,59_6.jpeg,По последней ре Изъ того,train
27.jpeg,27_31.jpeg,1858 года марта 31 дня,train
57.jpeg,57_12.jpeg,оной прибы,train
87.jpeg,87_8.jpeg,Изъ того Ныне,train
24.jpeg,24_50.jpeg,Петръ,train
60.jpeg,60_8.jpeg,бурга въ своемъ доме,train
33.jpeg,33_6.jpeg,по последней изъ того ныне,train
7.jpeg,7_46.jpeg,10,train
67.jpeg,67_22.jpeg,№10,train
91.jpeg,91_30.jpeg,Лета,train
145.jpeg,145_4.jpeg,Евграфовой ососто душахъ на лицо,train
63.jpeg,63_45.jpeg,16,train
86.jpeg,86_40.jpeg,Ревизская сказка,train
30.jpeg,30_2.jpeg,1858 года Апреля 10 дня Вятской губернiи,train
79.jpeg,79_42.jpeg,2,train
50.jpeg,50_0.jpeg,Дополнительная Ревизская сказка,train
73.jpeg,73_21.jpeg,№10,train
85.jpeg,85_42.jpeg,ящихъ душахъ на лицо,train
87.jpeg,87_2.jpeg,78,train
15.jpeg,15_59.jpeg,5 Андрей,train
11.jpeg,11_31.jpeg,Степанъ,train
93.jpeg,93_56.jpeg,Итого женскаго пола две души,train
37.jpeg,37_53.jpeg,5,train
19.jpeg,19_27.jpeg,1858 года марта 31 дня,train
24.jpeg,24_42.jpeg,655,train
63.jpeg,63_13.jpeg,ной от на,train
63.jpeg,63_21.jpeg,Съ которого,train
224.jpeg,224_7.jpeg,въ 2 часу г Екатерин,train
63.jpeg,63_52.jpeg,Всего въ сей ревизской сказке заключается наличныхъ душъ мужеска пола два женскаго два и въ на,train
71.jpeg,71_32.jpeg,Мещанки,train
93.jpeg,93_41.jpeg,37,train
87.jpeg,87_31.jpeg,ревизiя ревизiя,train
5.jpeg,5_19.jpeg,лицо,train
69.jpeg,69_9.jpeg,визiи состояло,train
141.jpeg,141_1.jpeg,Тысяча Восемьсот шестьдесят вось,train
283.jpeg,283_3.jpeg,того Дня Пермской Губернии,train
57.jpeg,57_5.jpeg,1867 года мая 29 дня Пермской губернiи города,train
23.jpeg,23_22.jpeg,Василiй 22,train
47.jpeg,47_15.jpeg,1 Петеръ Албертъ,train
33.jpeg,33_16.jpeg,реви,train
19.jpeg,19_10.jpeg,выбыло лицо,train
57.jpeg,57_7.jpeg,По последней Изъ того Ныне,train
86.jpeg,86_19.jpeg,Лета,train
49.jpeg,49_44.jpeg,теринбургских,train
19.jpeg,19_19.jpeg,71,train
14.jpeg,14_1.jpeg,Тысяча восемьсотъ пятьдесятъ,train
37.jpeg,37_16.jpeg,прибыло,train
24.jpeg,24_49.jpeg,Федоровича сынъ,train
23.jpeg,23_15.jpeg,именно,train
65.jpeg,65_8.jpeg,Семьи Мужескiй полъ,train
20.jpeg,20_18.jpeg,лицо,train
37.jpeg,37_49.jpeg,Тимофея сыновья,train
141.jpeg,141_3.jpeg,Пермской губернiи города Екатерин,train
22.jpeg,22_3.jpeg,Марта 31 дня 1858 года,train
91.jpeg,91_49.jpeg,30,train
3.jpeg,3_26.jpeg,Его же дочь Ксенья,train
64.jpeg,64_1.jpeg,Тысяча восемьсотъ шестьдесятъ седьмого года,train
41.jpeg,41_9.jpeg,янв,train
41.jpeg,41_8.jpeg,Трифонъ 24 1/2 1834 32,train
57.jpeg,57_36.jpeg,Колпаковъ,train
45.jpeg,45_12.jpeg,1 Петеръ Альбертъ Да,train
12.jpeg,12_3.jpeg,записанныхъ,train
75.jpeg,75_44.jpeg,Итого мужеска пола одна душа 1,train
71.jpeg,71_35.jpeg,реви,train
106.jpeg,106_14.jpeg,Женский пол,train
47.jpeg,47_18.jpeg,Даниловъ,train
51.jpeg,51_28.jpeg,Лета,train
61.jpeg,61_42.jpeg,солдатскихъ,train
86.jpeg,86_30.jpeg,заводовъ,train
61.jpeg,61_41.jpeg,№1655 изъ,train
35.jpeg,35_13.jpeg,реви,train
89.jpeg,89_10.jpeg,Мещанки,train
33.jpeg,33_1.jpeg,1858 гола апреля 16 дня Вятской губернiи Орловского,train
38.jpeg,38_1.jpeg,1858 года февраля месяца 12 дня Вятской губернiи,train
81.jpeg,81_25.jpeg,Мещанки,train
73.jpeg,73_14.jpeg,Семьи Женскiй полъ,train
33.jpeg,33_4.jpeg,Семьи,train
52.jpeg,52_5.jpeg,душахъ на лицо,train
79.jpeg,79_40.jpeg,13,train
5.jpeg,5_44.jpeg,отъ первой жены сынъ,train
81.jpeg,81_34.jpeg,ской Казенной,train
5.jpeg,5_21.jpeg,ной отлучке на лицо,train
85.jpeg,85_29.jpeg,детей Екатерин,train
21.jpeg,21_4.jpeg,во време,train
87.jpeg,87_50.jpeg,Сергей,train
11.jpeg,11_38.jpeg,Составленъ въ 1866 году,train
91.jpeg,91_51.jpeg,отъ 21 сентября,train
37.jpeg,37_22.jpeg,когда,train
33.jpeg,33_24.jpeg,Давида Данилова сынъ,train
51.jpeg,51_33.jpeg,времени,train
79.jpeg,79_9.jpeg,Во времен Ныне,train
86.jpeg,86_33.jpeg,бывшiя показаны прописных же нетъ къ сей Реви,train
19.jpeg,19_13.jpeg,лета,train
71.jpeg,71_17.jpeg,отлучке,train
63.jpeg,63_3.jpeg,1867 года Iюня 19 дня Пермской губернiи г,train
28.jpeg,28_38.jpeg,20,train
86.jpeg,86_23.jpeg,ской Казенной,train
28.jpeg,28_9.jpeg,ныне,train
83.jpeg,83_7.jpeg,Во временной Ныне,train
17.jpeg,17_23.jpeg,именно какое зна семействе разделъ получилъ,train
145.jpeg,145_0.jpeg,Дополнительная Ревизская сказка,train
5.jpeg,5_33.jpeg,317. 332. константинъ Иванова,train
71.jpeg,71_30.jpeg,реви,train
93.jpeg,93_37.jpeg,Ольги Ивановой,train
51.jpeg,51_9.jpeg,Во временной,train
33.jpeg,33_3.jpeg,починка,train
53.jpeg,53_31.jpeg,времени,train
77.jpeg,77_25.jpeg,ревизiи ревизiи Мещане,train
54.jpeg,54_6.jpeg,Жительство имею,train
9.jpeg,9_8.jpeg,По послед,train
13.jpeg,13_20.jpeg,Осипа Лукоянова жена Матрена Данилова,train
57.jpeg,57_25.jpeg,Лета,train
210.jpeg,210_2.jpeg,вятого года Марта двадцать девятого дня Перм,train
33.jpeg,33_33.jpeg,Давида Данилова брата,train
83.jpeg,83_41.jpeg,Казенной,train
16.jpeg,16_1.jpeg,Списокъ,train
35.jpeg,35_28.jpeg,Парасковья,train
5.jpeg,5_5.jpeg,нiи Екатеринбургского Уезда Верхне,train
61.jpeg,61_0.jpeg,Дополнительная ревизская сказка,train
70.jpeg,70_7.jpeg,бурга,train
24.jpeg,24_30.jpeg,ревизiи ревизiи,train
35.jpeg,35_33.jpeg,13,train
49.jpeg,49_6.jpeg,Изъ того Ныне,train
9.jpeg,9_54.jpeg,. .,train
24.jpeg,24_44.jpeg,23,train
79.jpeg,79_4.jpeg,рода Екатеринбурга,train
93.jpeg,93_54.jpeg,ного завода,train
86.jpeg,86_39.jpeg,своемъ доме,train
27.jpeg,27_33.jpeg,ноуфимского уезда,train
55.jpeg,55_20.jpeg,№9,train
31.jpeg,31_51.jpeg,1857г,train
20.jpeg,20_36.jpeg,Артемия Тимофеева,train
81.jpeg,81_37.jpeg,22,train
86.jpeg,86_28.jpeg,стеровых детей,train
87.jpeg,87_49.jpeg,его и личной прозьбы руку приложилъ Екатеринбурский мещанинъ,train
72.jpeg,72_9.jpeg,Жительство Имею,train
9.jpeg,9_49.jpeg,Его дочь Наталья,train
77.jpeg,77_1.jpeg,Ревизская Сказка,train
56.jpeg,56_3.jpeg,сленного мещанина Василiя Пет,train
91.jpeg,91_40.jpeg,Анна Максимова,train
47.jpeg,47_1.jpeg,Ревизская сказка,train
17.jpeg,17_12.jpeg,дочерей и про,train
24.jpeg,24_47.jpeg,Его же дочь Феоктиста,train
48.jpeg,48_4.jpeg,Елькина о состоящихъ душахъ на лицо,train
49.jpeg,49_25.jpeg,Когда,train
65.jpeg,65_44.jpeg,1,train
57.jpeg,57_27.jpeg,рого вре,train
9.jpeg,9_2.jpeg,1858 года Марта месяца 14 дня Пермской Губернiи Екате,train
20.jpeg,20_14.jpeg,Семьи Женский полъ ной отлу,train
23.jpeg,23_30.jpeg,Артемiй 16,train
37.jpeg,37_20.jpeg,цо,train
6.jpeg,6_13.jpeg,9 реви 10 реви,train
81.jpeg,81_6.jpeg,По последней Изъ того Ныне,train
49.jpeg,49_27.jpeg,лета,train
12.jpeg,12_52.jpeg,35,train
65.jpeg,65_27.jpeg,времени,train
59.jpeg,59_34.jpeg,зiи,train
67.jpeg,67_50.jpeg,15,train
85.jpeg,85_38.jpeg,Тысяча восемьсотъ шестьдесятъ седмагода,train
65.jpeg,65_0.jpeg,Ревизская сказка,train
69.jpeg,69_27.jpeg,зiи зiи,train
24.jpeg,24_15.jpeg,Семьи,train
65.jpeg,65_15.jpeg,лучке лица,train
79.jpeg,79_0.jpeg,Ревизская сказка,train
86.jpeg,86_16.jpeg,Лета,train
24.jpeg,24_29.jpeg,Лета,train
17.jpeg,17_70.jpeg,Рекрудству не,train
12.jpeg,12_11.jpeg,выхъ списковъ,train
69.jpeg,69_43.jpeg,Его сынъ Иванъ Государственныхъ,train
93.jpeg,93_17.jpeg,прибыло,train
39.jpeg,39_32.jpeg,мени,train
5.jpeg,5_37.jpeg,Шапкинъ,train
49.jpeg,49_3.jpeg,1867года,train
55.jpeg,55_28.jpeg,ревизiи ревизiи Мещанки,train
5.jpeg,5_18.jpeg,выбыло,train
49.jpeg,49_48.jpeg,целярский Служитель Евтихiй Елькинъ,train
28.jpeg,28_20.jpeg,лучке,train
81.jpeg,81_8.jpeg,ревизiи сото,train
17.jpeg,17_66.jpeg,зачтена брату,train
65.jpeg,65_36.jpeg,палаты отъ 23,train
93.jpeg,93_2.jpeg,1864 года октября 10 дня Пермской губернiи города,train
78.jpeg,78_1.jpeg,1867 года Сентября 2 дня Пермской,train
7.jpeg,7_40.jpeg,361,train
38.jpeg,38_40.jpeg,335,train
63.jpeg,63_38.jpeg,панида Иванова,train
55.jpeg,55_29.jpeg,времени,train
9.jpeg,9_40.jpeg,ни,train
9.jpeg,9_24.jpeg,чке,train
80.jpeg,80_0.jpeg,Ревизская Сказка,train
20.jpeg,20_42.jpeg,12,train
33.jpeg,33_31.jpeg,7,train
43.jpeg,43_11.jpeg,ковъ,train
47.jpeg,47_28.jpeg,Къ сей ревизской сказке бывшiй Прус,train
6.jpeg,6_15.jpeg,зiи,train
106.jpeg,106_31.jpeg,отъ,train
35.jpeg,35_14.jpeg,10 реви,train
88.jpeg,88_9.jpeg,ревизiи ревизiи,train
35.jpeg,35_23.jpeg,Давыда жена Агафья Макарова,train
82.jpeg,82_4.jpeg,нина Гаврiила Иванова Горохова,train
86.jpeg,86_24.jpeg,сьевъ Пшеницынъ,train
74.jpeg,74_7.jpeg,въ 2 части города Екате,train
106.jpeg,106_33.jpeg,Всего въ сей ревизской сказке выключается наличныхъ душ мужеска пола,train
87.jpeg,87_37.jpeg,латы отъ 6 Мар,train
12.jpeg,12_89.jpeg,въ 1865 году,train
29.jpeg,29_0.jpeg,Ревизская сказка,train
51.jpeg,51_21.jpeg,отлучке лицо,train
86.jpeg,86_36.jpeg,2 части города,train
61.jpeg,61_3.jpeg,1867 года Iюня 14 дня Пермской губернiи города,train
25.jpeg,25_28.jpeg,Ирина Федорова,train
85.jpeg,85_28.jpeg,изъ мастерскихъ,train
61.jpeg,61_24.jpeg,№9,train
49.jpeg,49_8.jpeg,Во временной ныне,train
24.jpeg,24_38.jpeg,52 1/2,train
69.jpeg,69_37.jpeg,58,train
53.jpeg,53_39.jpeg,Холостъ,train
33.jpeg,33_10.jpeg,числа вы на ли,train
89.jpeg,89_7.jpeg,отлучке Лицо,train
3.jpeg,3_14.jpeg,№ 10 ре,train
12.jpeg,12_79.jpeg,Дмитрiя мать Але,train
52.jpeg,52_0.jpeg,Дополнительная Ревизская Сказка,train
81.jpeg,81_4.jpeg,г Екатеринбурга,train
74.jpeg,74_8.jpeg,ринбурга въ своемъ доме,train
11.jpeg,11_21.jpeg,именно,train
31.jpeg,31_45.jpeg,Авдотья,train
69.jpeg,69_51.jpeg,Всего въ сей ревизской сказке заключается наличныхъ душъ мужескаго пола два и женска,train
91.jpeg,91_29.jpeg,именно,train
37.jpeg,37_9.jpeg,Мужскiй полъ,train
80.jpeg,80_6.jpeg,Жительство имею,train
61.jpeg,61_39.jpeg,16 февраля,train
53.jpeg,53_20.jpeg,лицо,train
37.jpeg,37_36.jpeg,175,train
11.jpeg,11_13.jpeg,лицо,train
